&F040;a 
&F041;a 
&F042;a 
&F043;a 
&F044;a 
&F045;a 
&F046;a 
&F047;c 
&F048;c 
&F049;c 
&F04A;c 
&F04B;d 
&F04C;d 
&F04D;e 
&F04E;e 
&F04F;e 
&F050;e 
&F051;e 
&F052;e 
&F053;e 
&F054;e 
&F055;i 
&F056;i 
&F057;l 
&F058;n 
&F059;n 
&F05A;o 
&F05B;o 
&F05C;o 
&F05D;o 
&F05E;o 
&F05F;r 
&F060;s 
&F061;s 
&F062;s 
&F063;s 
&F064;t 
&F065;u 
&F066;u 
&F067;u 
&F068;u 
&F069;u 
&F06A;z 
&F06B;z 
&F06C;0 
&F06D;oe
&F06E;0 
%8160;2 
%8166;1 
%F95D;1 
#¥   ;1 
#'   ;1 
#-   ;1 
@f   ;0 
