&F066;ae
&F069;a 
&F06A;e 
&F06B;u 
&F06C;a 
&F06D;i 
&F06E;n 
&F06F;u 
&F070;m 
&F071;a 
&F072;a 
&F073;o 
&F074;a 
&F075;a 
&F076;a 
&F077;e 
&F078;e 
&F079;e 
&F07A;e 
&F07B;o 
&F07C;a 
&F07D;a 
&F07E;a 
&F080;a 
&F081;i 
&F082;i 
&F083;i 
&F084;i 
&F085;u 
&F086;u 
&F087;u 
&F088;u 
&F089;e 
&F08A;e 
&F08B;e 
&F08C;e 
&F08D;o 
&F08E;o 
&F08F;o 
&F090;o 
&F091;v 
&F092;v 
&F093;v 
&F094;v 
&F095;v 
&F09A;m 
&F09B;m 
&F09C;m 
&F09D;n 
&F09E;n 
&F09F;n 
&F0A0;e 
&F0A1;e 
&F0A2;e 
&F0A3;e 
&F0A4;e 
%F95D;1 
%FBF0;1 
#'   ;1 
#-   ;1 
#¥   ;1 
@ffff;  
