&EC4F;0 
&EC54;0 
&EC56;a 
&EC62;i 
&EC66;n 
&EC68;o 
&EC6E;u 
&EC70;u 
&EC74;a 
&EC75;a 
&EC77;a 
&EC78;a 
&EC7B;c 
&EC7C;e 
&EC7D;e 
&EC7E;e 
&EC80;e 
&EC81;i 
&EC82;i 
&EC83;i 
&EC86;n 
&EC88;o 
&EC8E;u 
&EC90;u 
&ED61;0 
&EDB3;e 
&EDC1;a 
&EDC2;a 
&EDC3;a 
&EDC5;a 
&EDC6;a 
&EDC9;c 
&EDCC;e 
&EDCD;e 
&EDCF;e 
&EDD0;e 
&EDD4;i 
&EDD8;i 
&EDD9;i 
&EDE0;n 
&EDE5;o 
&EDE6;o 
&EDEA;o 
&EDEB;o 
&EDF4;u 
&EDF7;u 
&EDF8;u 
&EE42;a 
&EE51;u 
&F040;0 
&F041;0 
&F042;i 
&F043;u 
&F044;0 
&F045;0 
&F94B;0 
&F94C;0 
&F97E;0 
&F9E1;0 
&F9E2;0 
#¥   ;1 
#'   ;1 
#-   ;1 
@f   ;0 
