&F140;a 
&F141;a 
&F142;a 
&F143;a 
&F144;a 
&F145;c 
&F146;e 
&F147;e 
&F148;e 
&F149;e 
&F14A;i 
&F14B;i 
&F14C;i 
&F14D;n 
&F14E;o 
&F14F;o 
&F150;o 
&F151;o 
&F152;u 
&F153;u 
&F154;u 
&F155;ae
&F156;oe
&F157;oe
&F158;a 
&F159;a 
&F15A;c 
&F15B;e 
&F15C;e 
&F15D;e 
&F15E;i 
&F15F;i 
&F160;o 
&F161;oe
&F162;a 
&F163;a 
&F164;c 
&F165;e 
&F166;e 
&F167;e 
&F168;e 
&F169;i 
&F16A;o 
&F16B;u 
&F16C;u 
&F16D;ae 
&F16E;oe 
&F16F;a 
&F170;c 
&F1B5;a 
&F1B6;b 
&F1B7;c 
&F1B8;d 
&F1B9;e 
&F1BA;f 
&F1BB;g 
&F1BC;h 
&F1BD;i 
&F1BE;j 
&F1BF;k 
&F1C0;l 
&F1C1;m 
&F1C2;n 
&F1C3;o 
&F1C4;p 
&F1C5;q 
&F1C6;r 
&F1C7;s 
&F1C8;t 
&F1C9;u 
&F1CA;v 
&F1CB;w 
&F1CC;x 
&F1CD;y 
&F1CE;z 
&F1B5;a 
&F1B6;b 
&F1B7;c 
&F1B8;d 
&F1B9;e 
&F1BA;f 
&F1BB;g 
&F1BC;h 
&F1BD;i 
&F1BE;j 
&F1BF;k 
&F1C0;l 
&F1C1;m 
&F1C2;n 
&F1C3;o 
&F1C4;p 
&F1C5;q 
&F1C6;r 
&F1C7;s 
&F1C8;t 
&F1C9;u 
&F1CA;v 
&F1CB;w 
&F1CC;x 
&F1CD;y 
&F1CE;z 
&F1CF;a 
&F1D0;b 
&F1D1;c 
&F1D2;d 
&F1D3;e 
&F1D4;f 
&F1D5;g 
&F1D6;h 
&F1D7;i 
&F1D8;j 
&F1D9;k 
&F1DA;l 
&F1DB;m 
&F1DC;n 
&F1DD;o 
&F1DE;p 
&F1DF;q 
&F1E0;r 
&F1E1;s 
&F1E2;t 
&F1E3;u 
&F1E4;v 
&F1E5;w 
&F1E6;x 
&F1E7;y 
&F1E8;z 
%8160;2 
%F95D;1 
#¥   ;1 
#-   ;1 
#'   ;2 
@f   ;0 
